PIPEVALVE 00000573;454;0.5
PIPEVALVE 00000574;692;0.5
PIPEVALVE 00000575;461;0.5
PIPEVALVE 00000576;698;0.5
PIPEVALVE 00000577;699;0.5
PIPEVALVE 00000611;720;0.5
PIPEVALVE 00000612;719;0.5
PIPEVALVE 00000613;724;0.5
PIPEVALVE 00000614;726;0.5
PIPEVALVE 00000615;731;0.5
PIPEVALVE 00000616;732;0.5
PIPEVALVE 00000617;717;0.5
PIPEVALVE 00000618;734;0.5
PIPEVALVE 00000619;741;0.5
PIPEVALVE 00000620;742;0.5
PIPEVALVE 00000621;716;0.5
PIPEVALVE 00000622;744;0.5
PIPEVALVE 00000625;747;0.5
PIPEVALVE 00000626;748;0.5
PIPEVALVE 00000627;749;0.5
PIPEVALVE 00000628;713;0.5
PIPEVALVE 00000629;755;0.5
PIPEVALVE 00000630;752;0.5
PIPEVALVE 00000631;757;0.5
PIPEVALVE 00000632;758;0.5
PIPEVALVE 00000766;761;0.5
PIPEVALVE 00000767;712;0.5
PIPEVALVE 00000854;771;0.5
PIPEVALVE 00000855;772;0.5
PIPEVALVE 00000856;775;0.5
PIPEVALVE 00000858;807;0.5
PIPEVALVE 00000859;806;0.5
PIPEVALVE 00000892;818;0.5
PIPEVALVE 00000893;820;0.5
PIPEVALVE 00000894;821;0.5
PIPEVALVE 00000895;822;0.5
PIPEVALVE 00000896;827;0.5
PIPEVALVE 00000897;828;0.5
PIPEVALVE 00000922;855;0.5
PIPEVALVE 00000924;859;0.5
PIPEVALVE 00000925;861;0.5
PIPEVALVE 00000926;863;0.5
PIPEVALVE 00000927;865;0.5
PIPEVALVE 00000928;868;0.5
PIPEVALVE 00000929;869;0.5
PIPEVALVE 00000932;874;0.5
PIPEVALVE 00000933;3216;0.5
PIPEVALVE 00000934;879;0.5
PIPEVALVE 00000935;881;0.5
PIPEVALVE 00000938;890;0.5
PIPEVALVE 00000952;913;0.5
PIPEVALVE 00000953;914;0.5
PIPEVALVE 00000954;924;0.5
PIPEVALVE 00000955;923;0.5
PIPEVALVE 00000956;931;0.5
PIPEVALVE 00000957;932;0.5
PIPEVALVE 00000962;945;0.5
PIPEVALVE 00000963;942;0.5
PIPEVALVE 00000964;949;0.5
PIPEVALVE 00000965;952;0.5
PIPEVALVE 00000966;957;0.5
PIPEVALVE 00000967;958;0.5
PIPEVALVE 00000968;962;0.5
PIPEVALVE 00000969;964;0.5
PIPEVALVE 00000970;967;0.5
PIPEVALVE 00000971;968;0.5
PIPEVALVE 00000972;973;0.5
PIPEVALVE 00000973;974;0.5
PIPEVALVE 00000974;979;0.5
PIPEVALVE 00000975;980;0.5
PIPEVALVE 00000976;3235;0.5
PIPEVALVE 00000977;3236;0.5
PIPEVALVE 00000978;989;0.5
PIPEVALVE 00000979;3233;0.5
PIPEVALVE 00000980;981;0.5
PIPEVALVE 00000981;992;0.5
PIPEVALVE 00000982;997;0.5
PIPEVALVE 00000983;998;0.5
PIPEVALVE 00000984;1005;0.5
PIPEVALVE 00000985;1002;0.5
PIPEVALVE 00000986;1018;0.5
PIPEVALVE 00000987;1017;0.5
PIPEVALVE 00000989;1025;0.5
PIPEVALVE 00000990;1023;0.5
PIPEVALVE 00000991;1027;0.5
PIPEVALVE 00000992;1030;0.5
PIPEVALVE 00000993;1012;0.5
PIPEVALVE 00000994;1032;0.5
PIPEVALVE 00000995;1036;0.5
PIPEVALVE 00000996;1035;0.5
PIPEVALVE 00000997;1041;0.5
PIPEVALVE 00000998;1042;0.5
PIPEVALVE 00000999;1050;0.5
PIPEVALVE 00001000;1054;0.5
PIPEVALVE 00001001;1055;0.5
PIPEVALVE 00001002;1060;0.5
PIPEVALVE 00001003;1065;0.5
PIPEVALVE 00001004;1066;0.5
PIPEVALVE 00001005;1075;0.5
PIPEVALVE 00001006;1076;0.5
PIPEVALVE 00001007;1071;0.5
PIPEVALVE 00001008;1080;0.5
PIPEVALVE 00001009;1081;0.5
PIPEVALVE 00001010;1082;0.5
PIPEVALVE 00001017;3253;0.5
PIPEVALVE 00001018;3254;0.5
PIPEVALVE 00001019;1099;0.5
PIPEVALVE 00001020;1104;0.5
PIPEVALVE 00001021;1110;0.5
PIPEVALVE 00001022;1109;0.5
PIPEVALVE 00001023;1121;0.5
PIPEVALVE 00001024;1124;0.5
PIPEVALVE 00001025;1131;0.5
PIPEVALVE 00001026;1134;0.5
PIPEVALVE 00001027;1146;0.5
PIPEVALVE 00001028;1168;0.5
PIPEVALVE 00001029;2134;0.5
PIPEVALVE 00001030;2133;0.5
PIPEVALVE 00001031;1143;0.5
PIPEVALVE 00001032;1174;0.5
PIPEVALVE 00001033;2135;0.5
PIPEVALVE 00001034;2136;0.5
PIPEVALVE 00001035;1179;0.5
PIPEVALVE 00001036;1180;0.5
PIPEVALVE 00001037;2138;0.5
PIPEVALVE 00001038;1157;0.5
PIPEVALVE 00001039;1160;0.5
PIPEVALVE 00001040;1184;0.5
PIPEVALVE 00001041;1187;0.5
PIPEVALVE 00001042;1161;0.5
PIPEVALVE 00001043;1189;0.5
PIPEVALVE 00001044;1190;0.5
PIPEVALVE 00001045;1163;0.5
PIPEVALVE 00001046;1194;0.5
PIPEVALVE 00001047;2140;0.5
PIPEVALVE 00001048;2139;0.5
PIPEVALVE 00001049;1156;0.5
PIPEVALVE 00001050;1198;0.5
PIPEVALVE 00001051;1199;0.5
PIPEVALVE 00001052;1200;0.5
PIPEVALVE 00001053;1201;0.5
PIPEVALVE 00001054;1204;0.5
PIPEVALVE 00001055;1206;0.5
PIPEVALVE 00001056;1205;0.5
PIPEVALVE 00001057;1209;0.5
PIPEVALVE 00001058;1210;0.5
PIPEVALVE 00001059;1211;0.5
PIPEVALVE 00001060;1214;0.5
PIPEVALVE 00001061;3267;0.5
PIPEVALVE 00001062;7982;0.5
PIPEVALVE 00001063;1219;0.5
PIPEVALVE 00001064;1220;0.5
PIPEVALVE 00001065;1224;0.5
PIPEVALVE 00001066;1228;0.5
PIPEVALVE 00001067;1229;0.5
PIPEVALVE 00001068;1234;0.5
PIPEVALVE 00001069;1247;0.5
PIPEVALVE 00001070;1248;0.5
PIPEVALVE 00001071;1257;0.5
PIPEVALVE 00001072;1258;0.5
PIPEVALVE 00001073;1269;0.5
PIPEVALVE 00001074;1270;0.5
PIPEVALVE 00001075;1275;0.5
PIPEVALVE 00001076;1272;0.5
PIPEVALVE 00001077;1277;0.5
PIPEVALVE 00001078;1278;0.5
PIPEVALVE 00001079;3846;0.5
PIPEVALVE 00001080;1231;0.5
PIPEVALVE 00001081;1282;0.5
PIPEVALVE 00001082;1287;0.5
PIPEVALVE 00001083;1290;0.5
PIPEVALVE 00001084;1295;0.5
PIPEVALVE 00001085;1299;0.5
PIPEVALVE 00001086;1300;0.5
PIPEVALVE 00001087;3292;0.5
PIPEVALVE 00001088;1302;0.5
PIPEVALVE 00001091;3296;0.5
PIPEVALVE 00001092;3508;0.5
PIPEVALVE 00001093;1315;0.5
PIPEVALVE 00001094;1316;0.5
PIPEVALVE 00001095;1320;0.5
PIPEVALVE 00001096;1322;0.5
PIPEVALVE 00001097;1328;0.5
PIPEVALVE 00001098;1379;0.5
PIPEVALVE 00001099;1380;0.5
PIPEVALVE 00001100;1376;0.5
